,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,other_info
28,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
29,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
30,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
31,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
32,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
33,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
34,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
35,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
36,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
37,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
38,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
39,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
40,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
41,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
42,"[[0], [3], [3, 0, 2, 1, 3, 2, 3], [], [1, 1, 0, 1, 0, 1, 2, 2, 2, 0, 1, 2, 0, 1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
43,"[[0], [3], [1], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
44,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
45,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
46,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
47,"[[0], [3], [4, 2, 4, 4, 0, 2, 0, 1, 3], [], [0, 2, 2, 0, 0, 1, 0, 1, 2, 1, 2, 2, 0], [2]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
48,"[[0], [3], [1, 1, 3, 3, 3, 4, 4, 3, 1, 2], [], [0, 0, 2, 0, 0, 2, 0, 2, 1, 2, 2, 2, 0, 1, 2, 1], [3, 1, 3]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
49,"[[0], [3], [], [4], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
50,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
