,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,other_info
105,"[[0], [2, 3], [], [0], [2], []]",2.3271375567438226,4,sin(Constant),"[1, 2, 0, 1, 1, 0]",sin(0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
106,"[[0], [2, 3], [], [0], [2], [0]]",2.3271375567438226,4,sin(Constant),"[1, 2, 0, 1, 1, 0]",sin(0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
107,"[[0], [4, 0, 3, 0, 3, 3, 1, 3, 3, 1, 1, 1, 3, 1, 3, 2, 1, 0, 3, 2, 3, 0, 1, 3, 3, 2, 3, 4, 1, 0, 3, 3, 0, 2, 3], [3, 2, 2, 0, 4, 0, 2, 2, 0, 4, 1], [0, 1, 4, 4], [1, 2, 0, 1, 1, 1, 1, 2, 0, 1, 0, 2, 0, 2, 1, 1], [4, 1, 2, 5, 1, 5, 4, 3, 2, 4]]",2.3456241440392764,6,x[4]|_div_|Constant*x[0]/((x[1]*x[2])*x[5]),"[1, 9, 3, 0, 5, 3]",x[4]|_div_|0.5942250656041724*x[0]/((x[1]*x[2])*x[5]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
108,"[[0], [2, 1, 0, 3, 2, 3, 2, 0, 2, 3, 1, 3, 3], [0, 2, 0, 0], [3, 1, 3, 0], [0, 0, 0, 1, 1], [2, 1]]",2.3482805186009577,9,_log_((x[0]+cos(x[0])*_log_(sin(x[0])+(x[2]+x[1])))),"[1, 13, 4, 4, 5, 2]",_log_((x[0]+cos(x[0])*_log_(sin(x[0])+(x[2]+x[1])))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
109,"[[0], [3], [], [], [1], [1]]",2.3563271373159194,4,x[1],"[1, 1, 0, 0, 1, 1]",x[1],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
110,"[[0], [3], [], [], [1], [1]]",2.3563271373159194,4,x[1],"[1, 1, 0, 0, 1, 1]",x[1],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
111,"[[0], [3], [], [], [1], [1]]",2.3563271373159194,4,x[1],"[1, 1, 0, 0, 1, 1]",x[1],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
112,"[[0], [3], [], [], [1], [1]]",2.3563271373159194,4,x[1],"[1, 1, 0, 0, 1, 1]",x[1],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
113,"[[0], [3], [], [], [1], [1]]",2.3563271373159194,4,x[1],"[1, 1, 0, 0, 1, 1]",x[1],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
114,"[[0], [3], [], [], [1], [1]]",2.3563271373159194,4,x[1],"[1, 1, 0, 0, 1, 1]",x[1],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
115,"[[0], [3], [], [], [1], [1]]",2.3563271373159194,4,x[1],"[1, 1, 0, 0, 1, 1]",x[1],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
116,"[[0], [3], [], [], [1], [1]]",2.3563271373159194,4,x[1],"[1, 1, 0, 0, 1, 1]",x[1],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
117,"[[0], [4, 3, 4, 4, 0, 2, 3, 2, 3, 3, 0, 0, 2, 3, 0, 3, 3, 1, 0, 3, 3, 0, 3, 3], [1, 0, 2, 1, 4, 2, 3], [0, 1, 3], [2, 0, 0, 2, 2, 0, 1, 2, 2, 2, 2], [5]]",2.364446905335438,9,Constant/(sin(x[0])-cos(x[0])/(Constant*x[5])/(_log_(Constant)+x[0]*x[5]-(Constant**Constant*Constant|_div_|Constant)*x[5])*x[5]),"[1, 24, 7, 3, 11, 1]",0.5942250656041724/(sin(x[0])-cos(x[0])/(0.723323292631134*x[5])/(_log_(0.08992457266499854)+x[0]*x[5]-(0.08558322728806267**0.33794059917606123*0.08756503566974927|_div_|0.8433798356967075)*x[5])*x[5]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
